,Huc_8,Watershed,Huc_12,Huc_12Name,Type,Category,Scientific_Name,Common_Name,Global_Rank,State_Rank,Fed_Status,State_Status,Habitat,Wet_Habitat_Flag
1105,5130108,Caney Fork River,51301080204,Dry Fork,Invertebrate Animal,Insect,Pseudanophthalmus sp. 27,Rumbling Falls Cave Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands; Van Buren & White counties.,Upland
1113,5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Insect,Arrhopalites sp. 4,A Cave Springtail (species 1),G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands.,Upland
1114,5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Arachnid,Appaleptoneta sp. 1,A Leptonetid Spider From Ghost River Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; reported from the northern Cumberlands.,Upland
1121,5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Mollusc,Pleuronaia gibberum,Cumberland Pigtoe,G1,S1,LE,E,"Shallow areas in small-medium rivers in riffles with sand and gravel substrates; tribs of Cumberland River & poss TN R, middle Tenn.",Aquatic
1123,5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Mollusc,Pegias fabula,Littlewing Pearlymussel,G1,S1,LE,E,"Cool, clear, high-gradient streams in sand, gravel, and cobble substrates, riffles; portions of Cumberland & upper Tenn. river systems.",Aquatic
1134,5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Insect,Onychiurus sp. 2,A Cave Obligate Springtail From TN,G1,S1,--,"Rare, Not State Listed","Terrestrial cave obligate, middle Cumberlands; reported from a single cave in Van Buren County.",Upland
1136,5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Insect,Neanura sp. 1,A Cave Obligate Springtail From TN,G1,S1,--,"Rare, Not State Listed","Terrestrial cave obligate; Rumbling Falls area, Van Buren Co; known from a single cave.",Upland
1138,5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Other Type,Chaetaspis sp. 1,A Cave Millipede From Thunder Run Cave (TN),G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; wet caves of central Cumberland Plateau; Van Buren County; known from a single cave at present.,Upland
1141,5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Insect,Pseudosinella sp. 5,A Cave Springtail From Swamp River Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands.,Upland
1149,5130108,Caney Fork River,51301080205,Cane Creek Lower,Vertebrate Animal,Fish,Etheostoma akatulo,Bluemask (Jewel) Darter,G1,S1,LE,E,Streams with slow to moderate current over clean sand and fine gravel; Caney Fork River system (above Great Falls Reservoir).,Aquatic
1152,5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Insect,Pseudanophthalmus sp. 27,Rumbling Falls Cave Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands; Van Buren & White counties.,Upland
1153,5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Other Type,Chaetaspis mollis,A Cave Millipede,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; central Cumberland Plateau; Van Buren County.,Upland
1158,5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Insect,Pseudanophthalmus vanburenensis,A Cave Obligate Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands.,Upland
1183,5130108,Caney Fork River,51301080303,Caney Fork River-Clifty Creek,Invertebrate Animal,Arachnid,Appaleptoneta sp. 1,A Leptonetid Spider From Ghost River Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; reported from the northern Cumberlands.,Upland
1188,5130108,Caney Fork River,51301080303,Caney Fork River-Clifty Creek,Invertebrate Animal,Insect,Pseudosinella sp. 5,A Cave Springtail From Swamp River Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands.,Upland
1194,5130108,Caney Fork River,51301080305,Caney Fork River-Suggs Branch,Invertebrate Animal,Insect,Aloconota diversiseta,A Rove Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Cumberland Plateau.,Upland
1200,5130108,Caney Fork River,51301080305,Caney Fork River-Suggs Branch,Invertebrate Animal,Insect,Pseudanophthalmus sp. 27,Rumbling Falls Cave Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands; Van Buren & White counties.,Upland
1203,5130108,Caney Fork River,51301080305,Caney Fork River-Suggs Branch,Vertebrate Animal,Fish,Etheostoma akatulo,Bluemask (Jewel) Darter,G1,S1,LE,E,Streams with slow to moderate current over clean sand and fine gravel; Caney Fork River system (above Great Falls Reservoir).,Aquatic
1208,5130108,Caney Fork River,51301080305,Caney Fork River-Suggs Branch,Invertebrate Animal,Insect,Triacanthella copelandi,Copeland's Springtail,G1,S1,--,"Rare, Not State Listed",Terrestrial cave associate; middle Cumberlands; also reported from Great Smoky Mtns.,Upland
1223,5130108,Caney Fork River,51301080402,Calfkiller River Upper,Invertebrate Animal,Mollusc,Pleuronaia gibberum,Cumberland Pigtoe,G1,S1,LE,E,"Shallow areas in small-medium rivers in riffles with sand and gravel substrates; tribs of Cumberland River & poss TN R, middle Tenn.",Aquatic
1234,5130108,Caney Fork River,51301080403,Calfkiller River Middle,Invertebrate Animal,Mollusc,Pleuronaia gibberum,Cumberland Pigtoe,G1,S1,LE,E,"Shallow areas in small-medium rivers in riffles with sand and gravel substrates; tribs of Cumberland River & poss TN R, middle Tenn.",Aquatic
1239,5130108,Caney Fork River,51301080404,Calfkiller River Middle,Invertebrate Animal,Mollusc,Pleuronaia gibberum,Cumberland Pigtoe,G1,S1,LE,E,"Shallow areas in small-medium rivers in riffles with sand and gravel substrates; tribs of Cumberland River & poss TN R, middle Tenn.",Aquatic
1243,5130108,Caney Fork River,51301080405,Calfkiller River Lower,Invertebrate Animal,Mollusc,Pleuronaia gibberum,Cumberland Pigtoe,G1,S1,LE,E,"Shallow areas in small-medium rivers in riffles with sand and gravel substrates; tribs of Cumberland River & poss TN R, middle Tenn.",Aquatic
1245,5130108,Caney Fork River,51301080405,Calfkiller River Lower,Vertebrate Animal,Fish,Etheostoma akatulo,Bluemask (Jewel) Darter,G1,S1,LE,E,Streams with slow to moderate current over clean sand and fine gravel; Caney Fork River system (above Great Falls Reservoir).,Aquatic
1258,5130108,Caney Fork River,51301080503,Lower Rocky River,Invertebrate Animal,Insect,Pseudanophthalmus sp. 27,Rumbling Falls Cave Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands; Van Buren & White counties.,Upland
1262,5130108,Caney Fork River,51301080503,Lower Rocky River,Invertebrate Animal,Insect,Triacanthella copelandi,Copeland's Springtail,G1,S1,--,"Rare, Not State Listed",Terrestrial cave associate; middle Cumberlands; also reported from Great Smoky Mtns.,Upland
1263,5130108,Caney Fork River,51301080503,Lower Rocky River,Invertebrate Animal,Insect,Pseudanophthalmus vanburenensis,A Cave Obligate Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands.,Upland
1268,5130108,Caney Fork River,51301080503,Lower Rocky River,Vertebrate Animal,Fish,Etheostoma akatulo,Bluemask (Jewel) Darter,G1,S1,LE,E,Streams with slow to moderate current over clean sand and fine gravel; Caney Fork River system (above Great Falls Reservoir).,Aquatic
1281,5130108,Caney Fork River,51301080503,Lower Rocky River,Invertebrate Animal,Insect,Aloconota diversiseta,A Rove Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Cumberland Plateau.,Upland
1285,5130108,Caney Fork River,51301080601,Caney Fork River-Rocky River,Invertebrate Animal,Insect,Folsomia sp. 2 nr. macrochaeta,A Springtail From Indian Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands; White County.,Upland
1287,5130108,Caney Fork River,51301080601,Caney Fork River-Rocky River,Invertebrate Animal,Insect,Pseudosinella sp. 6,A Springtail From Indian Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; White County.  Reported from a single cave.,Upland
1288,5130108,Caney Fork River,51301080601,Caney Fork River-Rocky River,Invertebrate Animal,Insect,Pseudanophthalmus vanburenensis,A Cave Obligate Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands.,Upland
1294,5130108,Caney Fork River,51301080601,Caney Fork River-Rocky River,Invertebrate Animal,Insect,Hypogastrura sp. 1,A Viatica Group Springtail,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Van Buren County; known from one cave in the Cumberland Plateau.,Upland
1297,5130108,Caney Fork River,51301080601,Caney Fork River-Rocky River,Invertebrate Animal,Insect,Pseudosinella sp. 5,A Cave Springtail From Swamp River Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands.,Upland
1301,5130108,Caney Fork River,51301080601,Caney Fork River-Rocky River,Invertebrate Animal,Insect,Pseudanophthalmus sp. 27,Rumbling Falls Cave Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands; Van Buren & White counties.,Upland
1302,5130108,Caney Fork River,51301080601,Caney Fork River-Rocky River,Invertebrate Animal,Insect,Pseudosinella sp. 7 nr. nata,A Springtail From Upper Cummings Cove Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Van Buren Co.,Upland
1306,5130108,Caney Fork River,51301080601,Caney Fork River-Rocky River,Invertebrate Animal,Insect,Triacanthella copelandi,Copeland's Springtail,G1,S1,--,"Rare, Not State Listed",Terrestrial cave associate; middle Cumberlands; also reported from Great Smoky Mtns.,Upland
1308,5130108,Caney Fork River,51301080601,Caney Fork River-Rocky River,Invertebrate Animal,Arachnid,Theromaster sp. 1,A Harvestman From Cummings Cove Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave associate; known from one cave in the Cumberland Plateau; Van Buren County.,Upland
1311,5130108,Caney Fork River,51301080602,Sink Creek,Vertebrate Animal,Fish,Fundulus julisia,Barrens Topminnow,G1,S1,LE,E,"Springs, spring runs, and first- and second-order headwaters and creeks in the Barrens of Cannon, Coffee, & Warren counties.",Aquatic
1319,5130108,Caney Fork River,51301080603,Pine Creek,Vertebrate Animal,Fish,Fundulus julisia,Barrens Topminnow,G1,S1,LE,E,"Springs, spring runs, and first- and second-order headwaters and creeks in the Barrens of Cannon, Coffee, & Warren counties.",Aquatic
1331,5130108,Caney Fork River,51301080605,Center Hill Lake,Invertebrate Animal,Mollusc,Helicodiscus punctatellus,Punctate Coil,G1,S1,--,"Rare, Not State Listed","Limestone talus deposits, Eastern Highland Rim; Jackson County; known from Pleistocene fossil specimens; may not be extant in TN.",Upland
1341,5130108,Caney Fork River,51301080606,Fall Creek,Vertebrate Animal,Fish,Fundulus julisia,Barrens Topminnow,G1,S1,LE,E,"Springs, spring runs, and first- and second-order headwaters and creeks in the Barrens of Cannon, Coffee, & Warren counties.",Aquatic
1413,5130108,Caney Fork River,51301080805,Dry Creek,Invertebrate Animal,Other Type,Pseudotremia lictor,A Cave Obligate Millipede,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim; DeKalb County.,Upland
1414,5130108,Caney Fork River,51301080805,Dry Creek,Invertebrate Animal,Insect,Pseudanophthalmus tiresias,Indian Grave Point Cave Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim; DeKalb County.,Upland
1422,5130108,Caney Fork River,51301080805,Dry Creek,Invertebrate Animal,Arachnid,Kleptochthonius myopius,A Cave Obligate Pseudoscorpion,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim.,Upland
1425,5130108,Caney Fork River,51301080805,Dry Creek,Invertebrate Animal,Other Type,Pseudotremia cercops,A Cave Obligate Millipede,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim escarpment; reported from Dekalb County.,Upland
1460,5130108,Caney Fork River,51301080905,Center Hill Lake,Invertebrate Animal,Mollusc,Plethobasus cicatricosus,White Wartyback,G1,S1,"LE, XN",E,Presumed to inhabit shoals and riffles in large rivers; Tennessee & Cumberland river systems.  Very rare & poss extirpated in TN.,Aquatic
1466,5130108,Caney Fork River,51301080905,Center Hill Lake,Invertebrate Animal,Mollusc,Epioblasma brevidens,Cumberlandian Combshell,G1,S1,"LE, XN",E,"Large creeks to large rivers, in coarse sand or mixtures of gravel, cobble, or rocks; Tennessee & Cumberland river systems.",Aquatic
1476,5130108,Caney Fork River,51301080905,Center Hill Lake,Invertebrate Animal,Mollusc,Cyprogenia stegaria,Fanshell,G1,S1,"LE, XN",E,Medium to large streams and rivers with coarse sand and gravel substrates; Cumberland and Tennessee river systems.,Aquatic
1479,5130108,Caney Fork River,51301080905,Center Hill Lake,Invertebrate Animal,Mollusc,Epioblasma obliquata,Catspaw,G1,S1,LE,E,"Medium-large rivers, in sand and gravel substrates in runs and riffles; Tennessee & Cumberland river systems.",Aquatic
1481,5130108,Caney Fork River,51301080905,Center Hill Lake,Invertebrate Animal,Mollusc,Dromus dromas,Dromedary Pearlymussel,G1,S1,"LE, XN",E,"Medium-large rivers with riffles and shoals w/ relatively firm rubble, gravel, and stable substrates; Tennessee & Cumberland systems.",Aquatic
1485,5130108,Caney Fork River,51301080905,Center Hill Lake,Invertebrate Animal,Mollusc,Epioblasma capsaeformis,Oyster Mussel,G1,S1,"LE, XN",E,Shallow riffles in mod-swift current of small-medium rivers with coarse sand and gravel; Tennessee &amp; Cumberland river systems excluding the Duck River.,Aquatic
1327,5130108,Caney Fork River,51301080605,Center Hill Lake,Invertebrate Animal,Mollusc,Vertigo clappi,Cupped Vertigo,G1G2,S1,--,"Rare, Not State Listed",In leaf litter and moss on forested hillsides; Blue Ridge; Monroe County.,Upland
1106,5130108,Caney Fork River,51301080204,Dry Fork,Invertebrate Animal,Insect,Litocampa sp. 5,A Cave Dipluran From TN,G2,S1,--,"Rare, Not State Listed","Terrestrial cave obligate, Cumberland Plateau escarpment.",Upland
1150,5130108,Caney Fork River,51301080205,Cane Creek Lower,Vertebrate Animal,Mammal,Myotis sodalis,Indiana Myotis,G2,S1,LE,E,Hibernates in caves; spring/summer maternity roosts are normally under the bark of standing trees.,Upland
1159,5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Insect,Litocampa sp. 5,A Cave Dipluran From TN,G2,S1,--,"Rare, Not State Listed","Terrestrial cave obligate, Cumberland Plateau escarpment.",Upland
